,ds,yhat,yhat_lower,yhat_upper
164,2018-06-14,5897.051076467791,277.8359494888645,11164.589990554374
165,2018-06-15,5968.295946669785,50.24492252957022,11756.528205238852
166,2018-06-16,5967.951149815792,449.81381158579353,11499.080348158488
167,2018-06-17,5892.001158918325,780.4115624710209,11096.625657441034
168,2018-06-18,5888.105873245826,411.78099200000037,11342.97801328605
169,2018-06-19,5794.632976172907,94.74884039427677,11334.85948406496
170,2018-06-20,5805.788306075303,889.1046487716376,10871.351585496337
171,2018-06-21,5698.149853895951,36.702723264856886,11233.577394174265
172,2018-06-22,5720.021776678177,346.80319290223883,11065.708985513953
173,2018-06-23,5668.076906964516,421.48560580537,10969.887019763608
174,2018-06-24,5539.607893570426,60.24816649501827,10429.714506412412
175,2018-06-25,5483.532342227891,35.90592033238823,10660.889078136432
176,2018-06-26,5339.406683622306,423.62372038790835,10511.934883174486
177,2018-06-27,5302.541173163107,-272.9203166082079,10384.362281123425
178,2018-06-28,5150.521697717091,-96.22481818009092,10308.360622313
179,2018-06-29,5132.554736692598,-491.2497590327781,10077.459443035335
180,2018-06-30,5046.103819711754,-302.0766685407949,10393.95745802963
181,2018-07-01,4889.137395550402,-409.93554638145656,10427.915230228804
182,2018-07-02,4811.133191083047,-616.4682322521045,10568.684110612776
183,2018-07-03,4652.093445623132,-881.4243950383843,10301.95486231167
184,2018-07-04,4607.6630460743545,-1006.6871130301328,9722.246682306657
185,2018-07-05,4455.655842503364,-539.4435568627872,9710.151823134702
186,2018-07-06,4445.405093964768,-1121.5027148852039,9845.580955651523
187,2018-07-07,4374.406005232138,-1219.5213536946903,9807.45132049702
188,2018-07-08,4240.56991810754,-686.696624701057,9602.367743531675
189,2018-07-09,4193.234928694084,-687.3897081095865,9636.819338858619
190,2018-07-10,4072.187063085903,-1333.95705322527,9693.74271358782
191,2018-07-11,4072.7838463624757,-1237.1954297547659,9059.058113858946
192,2018-07-12,3972.4854214835923,-1305.3560152998634,9637.080294148353
193,2018-07-13,4020.2091144011756,-1160.5395155982171,9256.559362553184
194,2018-07-14,4012.9754210456576,-1760.6063170527023,9303.124931987637
195,2018-07-15,3948.1650593240047,-1278.6482700656522,9308.101975481055
196,2018-07-16,3974.531994741492,-1788.5870415283625,8915.426225826268
197,2018-07-17,3931.226757866276,-1699.6147480114196,9539.718290988581
198,2018-07-18,4012.922111598271,-1078.4754044147005,9328.6393907864
199,2018-07-19,3996.3464724099995,-1400.0569582025007,9445.59189223601
200,2018-07-20,4129.641240046949,-1277.4144479147358,9601.07463552268
201,2018-07-21,4209.01026574519,-1176.0664854692297,9656.961665766219
202,2018-07-22,4230.981338417858,-1092.0311228717715,9536.20632402054
203,2018-07-23,4343.424801975389,-491.74839949682683,9701.09024288606
204,2018-07-24,4384.583782295867,-1051.0998114305282,10065.895581508858
205,2018-07-25,4548.2081870784405,-880.0535981596428,9912.643583652743
206,2018-07-26,4610.097924281143,-848.2333686105868,9859.622233603119
207,2018-07-27,4817.471465273493,-741.7029146885376,10119.046234214144
208,2018-07-28,4965.6278810931435,-85.13826948776281,10298.122841493778
209,2018-07-29,5050.222055798544,-453.7869705561721,10590.921650466713
210,2018-07-30,5218.297943359812,-130.17182551391883,10981.45725666014
211,2018-07-31,5307.334034153893,-217.42177990815625,10711.514451919229
212,2018-08-01,5510.39282437279,390.02397529793035,10968.44886477116
213,2018-08-02,5602.679317618617,-194.7931337242557,11082.204140160855
214,2018-08-03,5830.924234916956,409.17120798852386,11164.406534723183
215,2018-08-04,5990.059593113923,477.91675550191337,11433.251281755121
216,2018-08-05,6075.505884846838,841.1987009087256,11178.084241940684
217,2018-08-06,6234.215270273868,755.7465144174193,11629.166593471658
218,2018-08-07,6303.6305036390695,562.0990347078723,11512.824537614835
219,2018-08-08,6477.121103056816,1488.8983329115872,12084.201381840705
220,2018-08-09,6530.261296821525,1087.6441287535183,11723.589465463945
221,2018-08-10,6710.305370357839,1081.7475719703025,12021.030582915453
222,2018-08-11,6812.857836233856,1224.6247695289537,12334.293942552145
223,2018-08-12,6834.151631100938,1442.869024769588,12175.416250338136
224,2018-08-13,6922.0788065885645,1291.9751015876557,12348.957747200448
225,2018-08-14,6915.227619557099,1427.5380286951251,11899.230736372125
226,2018-08-15,7008.017709110281,1764.3488708666462,12296.96995763494
227,2018-08-16,6977.23844966736,1214.0137746159603,11753.347622748275
228,2018-08-17,7071.406388502188,1821.9665318494935,12638.425571122198
229,2018-08-18,7087.409832684574,1560.28780736328,12274.006971007857
230,2018-08-19,7022.760391350821,1425.0715612715494,12263.99745709069
231,2018-08-20,7026.596613364778,1727.0480287128407,12427.908518186967
232,2018-08-21,6938.694332567371,1415.0548468581712,12378.357786631044
233,2018-08-22,6954.57612802121,1677.6101004366228,11869.06334519523
234,2018-08-23,6852.025700235636,1736.139888959944,12245.58671575977
235,2018-08-24,6880.423753354411,1569.1815976542202,12336.780461747654
236,2018-08-25,6837.374078173289,1708.502393794261,12347.48522667706
237,2018-08-26,6720.940199901383,1111.0881290218988,11944.633943087789
238,2018-08-27,6680.638198056449,1222.4563590335829,11995.077761763967
239,2018-08-28,6556.440671141445,1108.0617444829281,11492.394036450345
240,2018-08-29,6543.884493718049,854.4787207956023,11874.049386876752
241,2018-08-30,6420.58827692761,1035.5483352553545,11941.669176704509
242,2018-08-31,6435.596096235342,977.9773634301378,11842.507211845217
243,2018-09-01,6386.016016752956,935.9306100804504,11986.144686373247
244,2018-09-02,6269.273479368432,490.73737145562365,11676.362183848572
245,2018-09-03,6234.124724602752,745.4553259101772,11647.430197321632
246,2018-09-04,6119.684677069525,751.8511536821705,11660.1171890282
247,2018-09-05,6120.561283390181,733.9076150085339,11709.365253128473
248,2018-09-06,6013.401472668196,569.2751136336473,11412.38697167189
249,2018-09-07,6046.264494957641,858.4912119608516,11125.8288341739
250,2018-09-08,6015.2903165043535,746.7639538945558,11449.731439271989
251,2018-09-09,5916.982265067974,224.39782175585745,10967.590867062243
252,2018-09-10,5899.248239845836,860.5965940536928,11177.479675817027
253,2018-09-11,5800.454080039819,242.5559066267124,11045.217399663068
254,2018-09-12,5814.5803150882,731.8528957414369,11547.458038708697
255,2018-09-13,5717.7867788967305,658.1086388107389,11023.34120917676
256,2018-09-14,5757.800261637718,243.53280255558988,11034.128577113845
257,2018-09-15,5730.592419974841,516.0175325439052,11246.656880149972
258,2018-09-16,5632.6668205083315,53.586189532329726,11418.44239267006
259,2018-09-17,5612.099263375991,396.48289376618715,10870.912716427321
260,2018-09-18,5507.584970381171,-303.9010751882039,10835.606238623115
261,2018-09-19,5513.5840112650185,-29.829897150727405,11090.03836790354
262,2018-09-20,5334.999442674989,157.46733909690388,10639.038773853212
263,2018-09-21,5292.15537245357,-338.625925031558,10644.368810372069
264,2018-09-22,5181.839606013667,-260.5113838516079,10379.782107246529
265,2018-09-23,5001.433629072402,-424.6153644598661,10575.051591901667
266,2018-09-24,4899.923313070813,-497.64138875990704,10962.961575288802
267,2018-09-25,4716.915141115998,-1043.1436891428739,10121.338163293032
268,2018-09-26,4647.750276462384,-872.0677847671151,10121.772008976746
269,2018-09-27,4470.022235156366,-829.3717744623459,9573.143467801467
270,2018-09-28,4432.914759193547,-1348.737060868406,9608.505727237254
271,2018-09-29,4333.828635498643,-1423.214039826071,9546.585521545841
272,2018-09-30,4170.617916326237,-1200.2143718721547,9502.721507950195
273,2018-10-01,4092.581277363386,-1091.6598585230863,9375.514976525363
274,2018-10-02,3939.463647261762,-1206.6803599640043,9235.259177459722
275,2018-10-03,3906.5609434954604,-1349.3743655851717,9646.03738969943
276,2018-10-04,3771.234032469896,-1834.5068116434709,9150.923143082598
277,2018-10-05,3782.2486968969515,-1699.5199090012704,9303.249923788002
278,2018-10-06,3736.410364909001,-1494.037157023096,9353.236015892675
279,2018-10-07,3630.8138855399375,-1288.7103588076832,9370.230780132777
280,2018-10-08,3613.8537386857533,-1820.5845501083215,9025.315074969392
281,2018-10-09,3524.2492963112672,-1986.540102610118,9257.193563001978
282,2018-10-10,3556.1772977536293,-1901.7015342302075,8924.846474730575
283,2018-10-11,3485.8168486028662,-1755.8758958484266,9045.677699799948
284,2018-10-12,3560.7228044599433,-1835.9183280552759,8942.661611720812
285,2018-10-13,3576.4952860232006,-1860.8571576223194,9068.589301415916
286,2018-10-14,3529.0645457767732,-1572.5908268200753,8817.102825731243
287,2018-10-15,3565.735485895797,-1851.674431091007,8970.82650501498
