timestamp,Open,High,Low,Close,Volume
2018-06-10,117.3525,117.47,102.68,106.54,936495.3139048882
2018-06-11,106.61833333333334,109.02,102.46,107.17166666666668,567118.0569767271
2018-06-12,107.14499999999998,108.24,94.05,99.86075,678779.1592092284
2018-06-13,99.899,100.57,86.71,93.56199999999998,1010359.3189962654
2018-06-14,93.56666666666666,103.06,91.65,100.92,842989.8544555447
2018-06-15,100.93,101.11,94.49,95.492,545488.6172517717
2018-06-16,95.5275,97.67,92.613,96.63219999999998,413245.7800697627
2018-06-17,96.7125,98.466,94.504,94.99,343764.508690669
2018-06-18,94.99179999999998,100.15,92.89,98.65666666666664,563326.9198462721
2018-06-19,98.77133333333332,120.0,96.84,98.66625,461841.6208488848
2018-06-20,98.66875,99.13,95.182,97.78,381118.5083002965
2018-06-21,97.78025,99.33,95.87,96.705,354090.26917605766
2018-06-22,96.7385,97.01,79.932,84.87425,1125743.591520509
2018-06-23,84.8914,87.11,81.29899999999998,82.88666666666667,563725.636258195
2018-06-24,82.91600000000003,85.12,73.2,80.521,1122047.0352039721
2018-06-25,80.593,84.51899999999998,78.43,81.5175,684515.2544759996
2018-06-26,81.5242,82.55,75.0,75.7502,482999.2465798491
2018-06-27,75.7642,81.97,74.85,80.67999999999998,543532.2724535805
2018-06-28,80.72,81.5,73.89,74.14216666666665,604142.4497682195
2018-06-29,74.1654,81.26,72.15,79.00025,790433.3793861702
2018-06-30,78.991,84.59,78.83,81.2186,680090.6782145066
2018-07-01,81.2205,81.83,77.62,79.90400000000002,431152.2753385069
2018-07-02,79.89966666666669,87.06,78.11,85.4,635703.2778978994
2018-07-03,85.41000000000003,90.0,83.64,85.0078,718935.554540267
2018-07-04,84.9784,89.494,83.34,85.37349999999998,471032.378329348
2018-07-05,85.3588,87.184,81.72,83.28116666666666,611200.5912479875
2018-07-06,83.3238,84.5,80.6,83.0752,456850.2144853114
2018-07-07,83.06574999999998,86.0,79.39699999999998,84.846,482438.79083662893
2018-07-08,84.89049999999997,86.01,81.75,82.21525000000003,435553.4739120026
2018-07-09,82.2225,83.74,79.8,80.43166666666667,483164.07569077355
2018-07-10,80.52833333333331,80.65,74.24,75.8874,785258.1952595409
2018-07-11,75.82700000000001,81.08,75.31,78.22399999999999,623552.6347847929
2018-07-12,78.2475,78.35,74.0,76.90483333333333,554965.9076809095
2018-07-13,76.90483333333333,78.66,74.96,76.58933333333334,533465.7625301722
2018-07-14,76.57333333333331,77.59,75.37,76.17,338328.0267251086
2018-07-15,76.17666666666666,79.53,75.006,78.572,406155.1924338283
2018-07-16,78.55924999999998,84.28,77.58,83.64816666666665,654473.8587006648
2018-07-17,83.50566666666667,90.23,81.3,88.90750000000001,824443.1285194973
2018-07-18,88.9875,94.48,84.2,86.21039999999998,936037.9928270053
2018-07-19,86.25666666666667,89.0,84.8,86.086,596930.9876977765
2018-07-20,86.1025,86.69,80.72,81.82666666666667,580546.9945384216
